Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Floor,Pain Management Achievement Threshold,Pain Management Benchmark,Pain Management Baseline Rate,Pain Management Performance Rate,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"110086","WASHINGTON COUNTY REGIONAL MEDICAL CENTER","610 SPARTA ROAD","Sandersville","GA","31082","WASHINGTON","58.14","78.19","86.61","79.83","79.75","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","84.34","85.67","6 out of 10","2 out of 9","6 out of 10","37.29","65.05","80.01","63.81","66.02","1 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","73.88","66.16","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","67.06","65.77","3 out of 10","0 out of 9","3 out of 10","44.32","65.30","79.39","65.85","71.59","5 out of 10","4 out of 9","5 out of 10","64.09","85.91","91.23","83.47","80.52","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","62.63","59.92","0 out of 10","0 out of 9","0 out of 10","17","14"
"450661","ODESSA REGIONAL MEDICAL CENTER","520 E 6TH STREET","Odessa","TX","79761","ECTOR","58.14","78.19","86.61","74.92","76.58","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","79.44","78.37","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","61.73","61.23","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.00","68.12","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","65.84","61.86","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","65.81","66.18","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","86.09","86.32","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","69.61","67.57","0 out of 10","0 out of 9","0 out of 10","3","17"
"450678","BAYLOR SCOTT AND WHITE MEDICAL CENTER WHITE ROCK","9440 POPPY DR","Dallas","TX","75218","DALLAS","58.14","78.19","86.61","78.01","76.10","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","87.26","79.96","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","66.91","63.29","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","72.89","69.44","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","59.50","66.09","3 out of 10","4 out of 9","4 out of 10","44.32","65.30","79.39","67.21","66.62","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","84.60","83.93","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","67.13","68.52","0 out of 10","0 out of 9","0 out of 10","5","17"
"240071","DISTRICT ONE HOSPITAL","200 STATE AVENUE","Faribault","MN","55021","RICE","58.14","78.19","86.61","79.31","84.51","7 out of 10","7 out of 9","7 out of 10","63.58","80.51","88.80","81.11","83.92","4 out of 10","3 out of 9","4 out of 10","37.29","65.05","80.01","75.48","76.32","7 out of 10","1 out of 9","7 out of 10","49.53","70.28","78.33","73.66","73.60","4 out of 10","0 out of 9","4 out of 10","41.42","62.88","73.36","64.05","68.51","5 out of 10","4 out of 9","5 out of 10","44.32","65.30","79.39","70.43","74.09","6 out of 10","4 out of 9","6 out of 10","64.09","85.91","91.23","87.54","89.36","6 out of 10","4 out of 9","6 out of 10","35.99","70.02","84.60","72.63","75.62","4 out of 10","2 out of 9","4 out of 10","43","20"
"390101","MEMORIAL HOSPITAL","325 SOUTH BELMONT STREET","York","PA","17403","YORK","58.14","78.19","86.61","77.31","74.80","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","76.00","76.89","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","57.36","56.15","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.85","64.97","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.69","58.97","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","60.93","60.91","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.00","88.67","5 out of 10","3 out of 9","5 out of 10","35.99","70.02","84.60","66.51","67.17","0 out of 10","0 out of 9","0 out of 10","5","13"
"150059","RIVERVIEW HEALTH","395 WESTFIELD RD","Noblesville","IN","46060","HAMILTON","58.14","78.19","86.61","77.81","80.83","3 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","82.43","82.20","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","62.99","64.58","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.25","72.27","3 out of 10","3 out of 9","3 out of 10","41.42","62.88","73.36","64.64","61.45","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","64.76","66.89","2 out of 10","1 out of 9","2 out of 10","64.09","85.91","91.23","87.29","90.05","8 out of 10","7 out of 9","8 out of 10","35.99","70.02","84.60","71.80","77.81","5 out of 10","4 out of 9","5 out of 10","23","18"
"170190","MANHATTAN SURGICAL HOSPITAL LLC","1829 COLLEGE AVENUE","Manhattan","KS","66502","RILEY","58.14","78.19","86.61","90.64","89.31","10 out of 10","0 out of 9","10 out of 10","63.58","80.51","88.80","92.32","88.86","10 out of 10","0 out of 9","10 out of 10","37.29","65.05","80.01","90.61","86.41","10 out of 10","0 out of 9","10 out of 10","49.53","70.28","78.33","85.37","87.36","10 out of 10","9 out of 9","10 out of 10","41.42","62.88","73.36","77.25","74.44","10 out of 10","0 out of 9","10 out of 10","44.32","65.30","79.39","91.27","89.13","10 out of 10","0 out of 9","10 out of 10","64.09","85.91","91.23","92.63","91.63","10 out of 10","0 out of 9","10 out of 10","35.99","70.02","84.60","91.03","90.06","10 out of 10","0 out of 9","10 out of 10","80","20"
"420065","BON SECOURS-ST FRANCIS XAVIER HOSPITAL","2095 HENRY TECKLENBURG DRIVE","Charleston","SC","29401","CHARLESTON","58.14","78.19","86.61","82.03","82.33","5 out of 10","0 out of 9","5 out of 10","63.58","80.51","88.80","84.38","84.59","5 out of 10","0 out of 9","5 out of 10","37.29","65.05","80.01","70.30","72.45","5 out of 10","2 out of 9","5 out of 10","49.53","70.28","78.33","73.26","75.09","6 out of 10","3 out of 9","6 out of 10","41.42","62.88","73.36","66.29","70.60","7 out of 10","6 out of 9","7 out of 10","44.32","65.30","79.39","67.99","67.03","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","87.98","89.05","6 out of 10","3 out of 9","6 out of 10","35.99","70.02","84.60","78.00","78.82","6 out of 10","1 out of 9","6 out of 10","42","20"
"050254","MARSHALL MEDICAL CENTER","1100 MARSHALL WAY","Placerville","CA","95667","ELDORADO","58.14","78.19","86.61","82.64","82.49","5 out of 10","0 out of 9","5 out of 10","63.58","80.51","88.80","80.30","80.59","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","67.13","70.18","4 out of 10","2 out of 9","4 out of 10","49.53","70.28","78.33","75.14","75.35","6 out of 10","0 out of 9","6 out of 10","41.42","62.88","73.36","64.83","68.99","6 out of 10","4 out of 9","6 out of 10","44.32","65.30","79.39","61.85","61.07","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.41","87.50","3 out of 10","0 out of 9","3 out of 10","35.99","70.02","84.60","74.05","76.64","5 out of 10","2 out of 9","5 out of 10","30","15"
"450788","CORPUS CHRISTI MEDICAL CENTER,THE","7101 S PADRE ISLAND DR","Corpus Christi","TX","78412","NUECES","58.14","78.19","86.61","75.83","77.68","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","81.07","80.78","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","61.82","66.13","1 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","70.48","70.50","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","60.35","64.48","2 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","65.27","64.68","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.35","85.89","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","70.30","71.63","1 out of 10","0 out of 9","1 out of 10","9","19"
"100177","CAPE CANAVERAL HOSPITAL","701 W COCOA BEACH CAUSEWAY","Cocoa Beach","FL","32931","BREVARD","58.14","78.19","86.61","81.61","83.80","6 out of 10","4 out of 9","6 out of 10","63.58","80.51","88.80","77.94","81.10","1 out of 10","2 out of 9","2 out of 10","37.29","65.05","80.01","68.86","71.39","4 out of 10","2 out of 9","4 out of 10","49.53","70.28","78.33","71.39","77.11","8 out of 10","8 out of 9","8 out of 10","41.42","62.88","73.36","69.01","70.17","7 out of 10","2 out of 9","7 out of 10","44.32","65.30","79.39","69.62","68.81","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","84.81","85.27","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","73.37","74.42","3 out of 10","0 out of 9","3 out of 10","33","19"
"140304","ADVENTIST BOLINGBROOK HOSPITAL","500 REMINGTON BOULEVARD","Bolingbrook","IL","60440","WILL","58.14","78.19","86.61","78.26","75.67","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.19","78.68","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","60.06","58.07","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.91","66.72","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","65.02","59.77","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","71.19","68.29","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","84.59","82.98","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","71.66","67.59","0 out of 10","0 out of 9","0 out of 10","2","14"
"390073","UPMC ALTOONA","620 HOWARD AVENUE","Altoona","PA","16601","BLAIR","58.14","78.19","86.61","80.20","77.87","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","77.42","77.87","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.24","63.24","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","67.12","65.84","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","53.47","58.74","0 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","62.28","57.29","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","84.89","84.33","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","67.95","58.87","0 out of 10","0 out of 9","0 out of 10","2","12"
"270023","COMMUNITY MEDICAL CENTER","2827 FORT MISSOULA RD","Missoula","MT","59804","MISSOULA","58.14","78.19","86.61","78.38","75.71","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","81.12","81.97","2 out of 10","1 out of 9","2 out of 10","37.29","65.05","80.01","65.36","65.37","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","69.91","68.29","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","63.67","63.38","1 out of 10","0 out of 9","1 out of 10","44.32","65.30","79.39","67.19","67.15","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","86.80","87.95","4 out of 10","2 out of 9","4 out of 10","35.99","70.02","84.60","77.03","73.59","3 out of 10","0 out of 9","3 out of 10","13","17"
"450755","COVENANT HOSPITAL LEVELLAND","1900 COLLEGE AVE","Levelland","TX","79336","HOCKLEY","58.14","78.19","86.61","81.40","83.54","6 out of 10","4 out of 9","6 out of 10","63.58","80.51","88.80","89.24","86.21","7 out of 10","0 out of 9","7 out of 10","37.29","65.05","80.01","75.69","73.55","6 out of 10","0 out of 9","6 out of 10","49.53","70.28","78.33","75.55","69.54","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","62.96","69.55","6 out of 10","6 out of 9","6 out of 10","44.32","65.30","79.39","71.77","72.20","5 out of 10","0 out of 9","5 out of 10","64.09","85.91","91.23","84.49","82.71","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","74.54","71.70","2 out of 10","0 out of 9","2 out of 10","32","17"
"370149","ST ANTHONY SHAWNEE HOSPITAL","1102 W MACARTHUR","Shawnee","OK","74801","POTTAWATOMIE","58.14","78.19","86.61","82.59","83.22","6 out of 10","1 out of 9","6 out of 10","63.58","80.51","88.80","84.71","85.37","6 out of 10","1 out of 9","6 out of 10","37.29","65.05","80.01","69.61","73.18","5 out of 10","3 out of 9","5 out of 10","49.53","70.28","78.33","75.03","74.72","5 out of 10","0 out of 9","5 out of 10","41.42","62.88","73.36","68.57","64.22","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","74.02","75.39","7 out of 10","2 out of 9","7 out of 10","64.09","85.91","91.23","85.08","86.25","1 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","69.84","73.87","3 out of 10","2 out of 9","3 out of 10","35","20"
"390116","SUBURBAN COMMUNITY HOSPITAL","2701 DEKALB PIKE","Norristown","PA","19401","MONTGOMERY","58.14","78.19","86.61","72.98","76.42","0 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","75.38","73.53","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","54.90","61.87","0 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","64.34","67.98","0 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","62.58","58.21","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","51.00","56.70","0 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","82.88","83.00","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","54.58","58.76","0 out of 10","1 out of 9","1 out of 10","9","11"
"140276","LOYOLA UNIVERSITY MEDICAL CENTER","2160 S 1ST AVENUE","Maywood","IL","60153","COOK","58.14","78.19","86.61","76.78","78.97","1 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","78.44","78.83","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.94","67.81","2 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","68.73","68.15","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","59.67","60.78","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","55.74","56.19","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.19","85.50","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","68.30","68.12","0 out of 10","0 out of 9","0 out of 10","4","11"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","Riverhead","NY","11901","SUFFOLK","58.14","78.19","86.61","70.02","70.45","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","72.82","72.01","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","54.39","57.13","0 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","64.68","65.51","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","54.30","54.93","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","52.06","53.77","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.14","86.74","2 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","54.15","54.95","0 out of 10","0 out of 9","0 out of 10","3","9"
"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","Jacksonville","AR","72076","PULASKI","58.14","78.19","86.61","74.26","64.24","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.30","72.07","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.09","57.29","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","67.68","58.45","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.19","48.86","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.98","63.91","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.69","73.09","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","58.69","52.13","0 out of 10","0 out of 9","0 out of 10","0","6"
"230105","MCLAREN - NORTHERN MICHIGAN","416 CONNABLE AVE","Petoskey","MI","49770","EMMET","58.14","78.19","86.61","79.01","80.17","3 out of 10","1 out of 9","3 out of 10","63.58","80.51","88.80","78.93","81.44","2 out of 10","2 out of 9","2 out of 10","37.29","65.05","80.01","71.00","73.67","6 out of 10","2 out of 9","6 out of 10","49.53","70.28","78.33","70.63","72.31","3 out of 10","2 out of 9","3 out of 10","41.42","62.88","73.36","63.07","65.29","3 out of 10","2 out of 9","3 out of 10","44.32","65.30","79.39","60.18","60.39","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","89.59","88.90","6 out of 10","0 out of 9","6 out of 10","35.99","70.02","84.60","71.30","70.85","1 out of 10","0 out of 9","1 out of 10","24","15"
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","Baton Rouge","LA","70808","EAST BATON ROUGE","58.14","78.19","86.61","81.71","80.67","3 out of 10","0 out of 9","3 out of 10","63.58","80.51","88.80","87.64","84.62","5 out of 10","0 out of 9","5 out of 10","37.29","65.05","80.01","63.17","63.20","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","73.93","71.76","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","65.40","64.86","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","67.79","71.82","5 out of 10","3 out of 9","5 out of 10","64.09","85.91","91.23","87.22","88.46","5 out of 10","3 out of 9","5 out of 10","35.99","70.02","84.60","73.59","73.69","3 out of 10","0 out of 9","3 out of 10","25","18"
"520049","BELLIN MEMORIAL HOSPITAL","744 S WEBSTER AVE","Green Bay","WI","54305","BROWN","58.14","78.19","86.61","85.45","85.35","8 out of 10","0 out of 9","8 out of 10","63.58","80.51","88.80","84.38","86.58","7 out of 10","4 out of 9","7 out of 10","37.29","65.05","80.01","78.22","72.70","5 out of 10","0 out of 9","5 out of 10","49.53","70.28","78.33","75.43","75.33","6 out of 10","0 out of 9","6 out of 10","41.42","62.88","73.36","71.41","72.10","8 out of 10","3 out of 9","8 out of 10","44.32","65.30","79.39","72.82","70.63","4 out of 10","0 out of 9","4 out of 10","64.09","85.91","91.23","90.35","91.78","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","80.98","81.51","8 out of 10","1 out of 9","8 out of 10","56","20"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","Mesa","AZ","85206","MARICOPA","58.14","78.19","86.61","78.18","77.47","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","77.96","75.79","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.34","59.70","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.19","69.58","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","65.57","66.18","3 out of 10","0 out of 9","3 out of 10","44.32","65.30","79.39","58.79","61.43","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","89.90","89.79","7 out of 10","0 out of 9","7 out of 10","35.99","70.02","84.60","70.81","72.21","2 out of 10","1 out of 9","2 out of 10","13","14"
"440073","MAURY REGIONAL HOSPITAL","1224 TROTWOOD AVE","Columbia","TN","38401","MAURY","58.14","78.19","86.61","82.49","82.59","5 out of 10","0 out of 9","5 out of 10","63.58","80.51","88.80","84.62","83.95","4 out of 10","0 out of 9","4 out of 10","37.29","65.05","80.01","71.23","69.85","3 out of 10","0 out of 9","3 out of 10","49.53","70.28","78.33","74.67","73.79","4 out of 10","0 out of 9","4 out of 10","41.42","62.88","73.36","68.42","68.12","5 out of 10","0 out of 9","5 out of 10","44.32","65.30","79.39","70.82","72.92","5 out of 10","2 out of 9","5 out of 10","64.09","85.91","91.23","83.09","84.47","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","75.31","75.95","4 out of 10","0 out of 9","4 out of 10","31","18"
"190167","MERCY REGIONAL MEDICAL CENTER","800 E MAIN","Ville Platte","LA","70586","EVANGELINE","58.14","78.19","86.61","76.75","78.48","1 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","86.82","87.50","8 out of 10","3 out of 9","8 out of 10","37.29","65.05","80.01","63.70","68.02","2 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","70.39","73.39","4 out of 10","3 out of 9","4 out of 10","41.42","62.88","73.36","63.28","70.54","7 out of 10","7 out of 9","7 out of 10","44.32","65.30","79.39","68.47","72.22","5 out of 10","3 out of 9","5 out of 10","64.09","85.91","91.23","87.29","88.47","5 out of 10","2 out of 9","5 out of 10","35.99","70.02","84.60","66.83","68.53","0 out of 10","0 out of 9","0 out of 10","32","19"
"440010","WAYNE MEDICAL CENTER","103 J V MANGUBAT DR","Waynesboro","TN","38485","WAYNE","58.14","78.19","86.61","81.07","82.23","5 out of 10","Not Available","5 out of 10","63.58","80.51","88.80","85.68","93.22","10 out of 10","Not Available","10 out of 10","37.29","65.05","80.01","70.69","67.18","2 out of 10","Not Available","2 out of 10","49.53","70.28","78.33","68.95","76.02","7 out of 10","Not Available","7 out of 10","41.42","62.88","73.36","61.05","74.93","10 out of 10","Not Available","10 out of 10","44.32","65.30","79.39","70.58","76.32","8 out of 10","Not Available","8 out of 10","64.09","85.91","91.23","85.96","82.44","0 out of 10","Not Available","0 out of 10","35.99","70.02","84.60","65.28","72.71","2 out of 10","Not Available","2 out of 10","44","16"
"100012","LEE MEMORIAL HOSPITAL","2776 CLEVELAND AVE","Fort Myers","FL","33901","LEE","58.14","78.19","86.61","78.53","76.78","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","74.76","72.84","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","65.56","62.75","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.46","67.43","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","63.37","62.69","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.59","62.70","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.63","86.88","2 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","69.04","70.95","1 out of 10","1 out of 9","1 out of 10","3","10"
